,N.º,País,Puntuación,PIB per cápita,Apoyo sociales,Esperanza de años de vida saludable,Libertad para tomar decisiones vitales,Generosidad,Percepción de la corrupción
82,83, Albania,5.277,1.449,0.951,0.480,0.549,0.133,0.037
83,84, Indonesia,5.277,1.384,1.169,0.314,0.663,0.422,0.038
84,85, Sudáfrica,5.275,1.417,1.428,0.149,0.464,0.090,0.019
85,86, República del Congo,5.267,0.921,0.665,0.145,0.464,0.134,0.136
86,87, Macedonia del Norte,5.254,1.498,1.171,0.408,0.515,0.207,0.020
87,88, Venezuela,5.211,0.000,1.257,0.341,0.369,0.205,0.084
88,89, Laos,5.111,1.232,0.853,0.257,0.715,0.185,0.162
89,90, Georgia,5.109,1.477,0.947,0.366,0.539,0.000,0.201
90,91, Guinea,5.072,0.844,0.776,0.072,0.369,0.204,0.102
91,92, Ucrania,5.071,1.358,1.354,0.355,0.551,0.265,0.016
92,93, Costa de Marfil,5.053,1.094,0.584,0.120,0.467,0.138,0.131
93,94, Gabón,5.035,1.438,1.021,0.183,0.346,0.036,0.102
94,95, Nigeria,4.981,1.065,1.007,0.092,0.448,0.176,0.013
95,96, Camerún,4.973,0.965,0.871,0.118,0.405,0.144,0.059
96,97, Mozambique,4.954,0.570,0.885,0.000,0.625,0.161,0.192
97,98, Irak,4.941,1.281,0.953,0.324,0.351,0.134,0.038
98,99, Palestina,4.908,1.144,1.309,0.292,0.416,0.065,0.067
99,100, Marruecos,4.903,1.236,0.535,0.337,0.540,0.013,0.085
100,101, Irán,4.876,1.465,1.102,0.411,0.281,0.229,0.130
101,102, Senegal,4.855,0.943,0.727,0.231,0.519,0.142,0.060
102,103, Mauritania,4.724,1.099,0.764,0.244,0.320,0.130,0.195
103,104, Burkina Faso,4.638,0.768,0.814,0.107,0.419,0.188,0.113
104,105, Namibia,4.631,1.289,1.126,0.145,0.383,0.069,0.071
105,106, Turquía,4.614,1.714,1.148,0.467,0.125,0.095,0.096
106,107, Ghana,4.605,1.101,0.756,0.197,0.526,0.211,0.035
107,108, Pakistán,4.555,1.081,0.657,0.158,0.511,0.141,0.102
108,109, Níger,4.501,0.561,0.628,0.137,0.540,0.154,0.140
109,110, Túnez,4.497,1.333,0.981,0.422,0.259,0.022,0.016
110,111, Kenia,4.487,1.051,0.881,0.190,0.418,0.291,0.055
111,112, Sri Lanka,4.442,1.422,1.224,0.426,0.539,0.120,0.086
112,113, Uganda,4.432,0.785,1.144,0.201,0.425,0.197,0.051
113,114, Chad,4.397,0.622,0.962,0.043,0.393,0.255,0.088
114,115, Camboya,4.393,1.025,1.024,0.283,0.768,0.176,0.051
115,116, Benín,4.374,0.924,0.242,0.124,0.481,0.114,0.253
116,117, Birmania,4.372,1.032,1.125,0.269,0.460,0.400,0.194
117,118, Bangladés,4.282,1.133,0.513,0.355,0.617,0.139,0.165
118,119, Gambia,4.279,0.761,0.614,0.174,0.286,0.332,0.033
119,120, Malí,4.198,0.763,0.637,0.106,0.441,0.121,0.059
120,121, Egipto,4.170,1.377,0.972,0.326,0.467,0.038,0.250
121,122, Togo,4.137,0.770,0.642,0.161,0.367,0.149,0.136
122,123, Jordania,4.120,1.292,0.980,0.438,0.517,0.056,0.173
123,124, Etiopía,4.091,0.793,1.114,0.250,0.451,0.283,0.101
124,125, Liberia,4.042,0.628,0.644,0.141,0.471,0.219,0.071
125,126, India,4.036,1.159,0.674,0.252,0.685,0.175,0.111
126,127, Madagascar,4.019,0.632,0.779,0.178,0.187,0.177,0.134
127,128, Zambia,3.982,0.914,0.890,0.095,0.545,0.189,0.080
128,129, Tanzania,3.694,0.836,0.787,0.214,0.607,0.234,0.269
129,130, Comoras,3.545,0.914,0.327,0.215,0.117,0.129,0.145
130,131, Malaui,3.495,0.637,0.479,0.189,0.490,0.139,0.129
131,132, Botsuana,3.435,1.471,1.041,0.087,0.480,0.021,0.071
132,133, República Democrática del Congo,3.207,0.531,0.784,0.105,0.375,0.183,0.068
133,134, Zimbabue,3.204,0.758,0.881,0.069,0.363,0.112,0.117
134,135, Sierra Leona,3.138,0.670,0.540,0.092,0.371,0.193,0.051
135,136, Líbano,2.392,1.417,0.476,0.398,0.123,0.061,0.02
136,137, Afganistán,1.859,0.645,0.000,0.087,0.000,0.093,0.059
